Name,Type
blaufränkisch,Red
limberger,Red
blanc doux,Red
blau fraenkisch,Red
blau fraenkische,Red
blauer lemberger,Red
blauer limberger,Red
blaufränkisch,Red
blaufranchis,Red
blaufranchisch,Red
blue french,Red
burgund kekfrankos,Red
burgund mare,Red
cerne,Red
cerne skalicke,Red
cerne starosvetske,Red
cerny muskatel,Red
chirokolistny,Red
cierny zierfandler,Red
crna frankovka,Red
crna moravka,Red
fernon,Red
fraenkische,Red
fraenkische schwarz,Red
franconia,Red
franconia nera,Red
franconia nero,Red
franconien bleu,Red
franconien noir,Red
frankinja,Red
frankinja modra,Red
frankovka,Red
frankovka cerna,Red
frankovka crna,Red
frankovka modra,Red
fruehschwarze,Red
game,Red
grossburgunder,Red
imberghem,Red
imbergher,Red
jubilaeumsrebe,Red
karmazin,Red
kekfrank,Red
kek frankos,Red
kekfrankos,Red
lampart,Red
lemberger,Red
limberg,Red
limberger blauer,Red
limberger noir,Red
limburske,Red
maehrische,Red
modra frankija,Red
modra frankinja,Red
modry hyblink,Red
moravka,Red
moravske,Red
muskateller schwarz,Red
nagyburgundi,Red
neskorak,Red
neskore,Red
neskore cierne,Red
noir de franconie,Red
oporto,Red
orna frankovka,Red
portugais lerouse,Red
portugais leroux,Red
portugais rouge,Red
portugieser rother,Red
pozdni,Red
pozdni skalicke cerne,Red
schwarz limberger,Red
schwarz fraenkische,Red
schwarzer burgunder,Red
schwarzgrobe,Red
serina,Red
shirokolistnyi,Red
sirokolidtnyj,Red
sirokolstnii,Red
starosvetske,Red
starovetsky hrozen,Red
szeleslevelue,Red
teltfuertue kekfrankos,Red
teltfurtu kekfrankos,Red
vaghyburgundi,Red
velke bugundske,Red
vojvodino,Red
bobal,Red
balau,Red
balauro,Red
benicarlo,Red
boal,Red
bobal noir,Red
bobos,Red
carignan d'espagne,Red
carignan d'espagne a fronton,Red
carignan espagnol,Red
coreana,Red
espagnol,Red
folle blanche du minervois,Red
moravio,Red
pobreton,Red
provechon,Red
rageno,Red
rajeno,Red
requena,Red
requenera,Red
requeno,Red
terret d'espagna,Red
terret d'espagne,Red
tinta madrid,Red
tinto de requena,Red
tinto de zurra,Red
tonto de zurra,Red
valenciana,Red
valenciana tinta,Red
valenciana tinto,Red
vinate,Red
boğazkere,Red
saraplik siyah,Red
siyah saraplik,Red
bombino nero,Red
bambino,Red
buonvino,Red
buonvino nero,Red
calatamuro nero,Red
cola tamburo nero,Red
bonamico,Red
buenamico,Red
buon amico,Red
buonamico,Red
canaiolo romano,Red
ceragia,Red
dorace,Red
durace,Red
giacomino,Red
neret,Red
neyret,Red
pulera,Red
sangioveto,Red
tinto,Red
uva di palaia,Red
uva rosa,Red
bonarda piemontese,Red
balsamina,Red
banarda di chieri,Red
bonarda,Red
bonarda a grandes grappes,Red
bonarda del monferrato,Red
bonarda dell' astigiano,Red
bonarda dell' astigiano e monferrato,Red
bonarda di asti,Red
bonarda di chieri,Red
bonarda di piemonte,Red
